codedesc,violationdesc,ratio
Caribbean,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.687240101004674
Russian,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.685395987050765
Pizza/Italian,Proper sanitization not provided for utensil ware washing operation.,0.683838341922508
Middle Eastern,Hot food item not held at or above 140º F.,0.67938364815654
Caribbean,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.67626551591892
Chinese,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.676049519330521
"Juice, Smoothies, Fruit Salads",Evidence of mice or live mice present in facility's food and/or non-food areas.,0.674994054471588
Chinese,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,0.674498849094709
Hamburgers,Evidence of mice or live mice present in facility's food and/or non-food areas.,0.674043948630426
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Tobacco use eating or drinking from open container in food preparation food storage or dishwashing area observed.,0.669904484659083
Indian,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.668929661157169
Caribbean,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.66674474914128
Bakery,Proper sanitization not provided for utensil ware washing operation.,0.663386207009445
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Single service item reused improperly stored dispensed; not used when required.,0.661022632859828
Chicken,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.659161793258749
Caribbean,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.651988314429185
Sandwiches,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,0.651963005306308
American,Live roaches present in facility's food and/or non-food areas.,0.651150853372796
Middle Eastern,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.649692244957367
American,Hot food item not held at or above 140º F.,0.649248416372244
Sandwiches,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.636874957238099
Italian,Food Protection Certificate not held by supervisor of food operations.,0.629245915961137
"Juice, Smoothies, Fruit Salads",Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.629007283036515
Hamburgers,Food not protected from potential source of contamination during storage preparation transportation display or service.,0.624080893652194
Caribbean,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,0.619107844812853
Pizza,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.609905461695972
Chinese,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,0.608650598951443
Pizza,Thawing procedures improper.,0.603878382631893
Japanese,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,0.599686974211594
French,Hot food item not held at or above 140º F.,0.598986937744771
Italian,Single service item reused improperly stored dispensed; not used when required.,0.593866286506853
Caribbean,Wiping cloths soiled or not stored in sanitizing solution.,0.5812994793524
American,Thawing procedures improper.,0.581115376212976
Chicken,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.570148987530227
Japanese,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,0.563954787371171
Pizza,Food contact surface not properly maintained.,0.55681757203928
Chinese,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,0.553273315183254
Chinese,Smoke free workplace smoking policy inadequate not posted not provided to employees.,0.552703240088008
Sandwiches,Hot food item not held at or above 140º F.,0.551234481714492
Chinese,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,0.495585312261787
Chinese,Proper sanitization not provided for utensil ware washing operation.,0.494943946520887
Japanese,Food Protection Certificate not held by supervisor of food operations.,0.48946538370939
Chinese,Food Protection Certificate not held by supervisor of food operations.,0.485642641374975
Bakery,Food contact surface not properly maintained.,0.479822058082928
Chinese,Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric) latex gloves sign not posted. Inspection report sign not posted.,0.474934550331218
Chinese,Accurate thermometer not provided in refrigerated or hot holding equipment.,0.437820339396246
Café/Coffee/Tea,Live roaches present in facility's food and/or non-food areas.,0.425841738824289
Chinese,"""""Wash hands sign not posted at hand wash facility.",0.422124908037032
Caribbean,Food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred.,0.403162916009264
Hamburgers,Hot food item not held at or above 140º F.,0.401790660118432
Chinese,Current letter grade card not posted.,0.398772615328385
"Ice Cream, Gelato, Yogurt, Ices",Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,0.390195350666159
Chinese,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,0.336626918608887
Café/Coffee/Tea,Hot food item not held at or above 140º F.,0.287215523054716
